epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,970.48,0.80437,0.52929,1.04761,0.87409,0.69504,0.74065,0.46004,1.46307,0.86431,1.39614,0.0059905,0.0059905,0.0059905
83,982.196,0.80284,0.52037,1.03852,0.8684,0.66784,0.69969,0.41067,1.59459,0.92903,1.49996,0.005941,0.005941,0.005941
84,994.047,0.79995,0.50584,1.03423,0.77956,0.65073,0.66886,0.43154,1.32996,0.90594,1.32417,0.0058915,0.0058915,0.0058915
85,1005.71,0.78143,0.5045,1.03161,0.86605,0.64909,0.68976,0.43331,1.38743,0.88076,1.39181,0.005842,0.005842,0.005842
86,1017.35,0.80125,0.52005,1.04196,0.78069,0.69335,0.71661,0.45198,1.45209,0.86776,1.39018,0.0057925,0.0057925,0.0057925
87,1029.06,0.79214,0.51139,1.03238,0.79685,0.6415,0.68264,0.4392,1.44135,0.91433,1.40397,0.005743,0.005743,0.005743
88,1040.68,0.81184,0.51239,1.03471,0.79471,0.64127,0.67835,0.42581,1.42864,0.94406,1.44002,0.0056935,0.0056935,0.0056935
89,1052.48,0.77704,0.50679,1.03098,0.77856,0.67559,0.69102,0.44319,1.35298,0.89121,1.37924,0.005644,0.005644,0.005644
90,1064.26,0.78047,0.50498,1.03061,0.85584,0.6621,0.72408,0.45928,1.34439,0.87358,1.33737,0.0055945,0.0055945,0.0055945
91,1075.9,0.77026,0.49515,1.02184,0.89779,0.66205,0.72945,0.43189,1.57282,0.86943,1.39483,0.005545,0.005545,0.005545
92,1087.68,0.76518,0.48863,1.01901,0.81419,0.68576,0.72715,0.43576,1.54842,0.88649,1.42404,0.0054955,0.0054955,0.0054955
93,1099.29,0.81089,0.51432,1.03888,0.86721,0.6556,0.70825,0.43447,1.40232,0.89472,1.36212,0.005446,0.005446,0.005446
94,1110.9,0.82007,0.51243,1.04275,0.81223,0.70168,0.70868,0.44287,1.3598,0.86773,1.41435,0.0053965,0.0053965,0.0053965
95,1122.6,0.79478,0.50453,1.03674,0.89079,0.65663,0.70285,0.43814,1.42682,0.85149,1.38184,0.005347,0.005347,0.005347
96,1134.19,0.78568,0.497,1.03207,0.81799,0.68503,0.69948,0.44118,1.3828,0.85345,1.34639,0.0052975,0.0052975,0.0052975
97,1145.81,0.77302,0.49121,1.02107,0.80117,0.69555,0.71263,0.45029,1.30411,0.85047,1.33668,0.005248,0.005248,0.005248
98,1157.58,0.75171,0.48539,1.01595,0.86026,0.66738,0.6819,0.42013,1.48512,0.93681,1.4479,0.0051985,0.0051985,0.0051985
99,1169.24,0.76084,0.49137,1.02243,0.81654,0.67519,0.71077,0.45473,1.43311,0.88625,1.41,0.005149,0.005149,0.005149
100,1180.89,0.76749,0.49007,1.02051,0.76761,0.7047,0.7023,0.4244,1.48229,0.84636,1.41412,0.0050995,0.0050995,0.0050995
101,1192.75,0.74004,0.47425,1.00846,0.80015,0.6586,0.71056,0.43218,1.47238,0.86961,1.40289,0.00505,0.00505,0.00505
102,1204.53,0.7543,0.47476,1.01355,0.78743,0.66242,0.67412,0.42364,1.32592,0.82798,1.37908,0.0050005,0.0050005,0.0050005
103,1216.33,0.73959,0.47145,1.00891,0.82893,0.64854,0.70353,0.4325,1.49203,0.86752,1.40265,0.004951,0.004951,0.004951
104,1227.9,0.74043,0.48404,1.01438,0.76211,0.66563,0.7247,0.45723,1.34332,0.85269,1.35694,0.0049015,0.0049015,0.0049015
105,1239.51,0.74226,0.47263,1.00978,0.78871,0.67788,0.68407,0.4323,1.42629,0.87196,1.41585,0.004852,0.004852,0.004852
106,1251.11,0.73111,0.47092,1.01231,0.85075,0.6837,0.72299,0.45066,1.42434,0.78876,1.40707,0.0048025,0.0048025,0.0048025
107,1262.73,0.73346,0.46588,1.00326,0.80027,0.6481,0.69995,0.45781,1.3469,0.85272,1.33484,0.004753,0.004753,0.004753
108,1274.47,0.74121,0.47327,1.00769,0.80558,0.67034,0.71092,0.44566,1.37286,0.81326,1.42136,0.0047035,0.0047035,0.0047035
109,1286.1,0.72958,0.4657,1.00694,0.81347,0.69261,0.7147,0.43031,1.56619,0.89776,1.42334,0.004654,0.004654,0.004654
110,1297.88,0.73205,0.46368,1.00706,0.81387,0.67209,0.72859,0.47208,1.36279,0.86604,1.3866,0.0046045,0.0046045,0.0046045
111,1309.74,0.72761,0.46253,1.0041,0.8319,0.69929,0.72611,0.44819,1.42768,0.85942,1.43914,0.004555,0.004555,0.004555
112,1321.36,0.71769,0.4543,0.99302,0.81531,0.63988,0.70964,0.45224,1.32915,0.83983,1.34078,0.0045055,0.0045055,0.0045055
113,1333.2,0.72618,0.45967,0.99906,0.85848,0.64315,0.70725,0.43204,1.38332,0.82569,1.35253,0.004456,0.004456,0.004456
114,1344.79,0.72917,0.46038,0.99758,0.8744,0.67783,0.7145,0.43087,1.45632,0.87651,1.37167,0.0044065,0.0044065,0.0044065
115,1356.46,0.72622,0.45425,0.99293,0.84692,0.66067,0.69967,0.43927,1.35333,0.87214,1.35813,0.004357,0.004357,0.004357
116,1368.08,0.71754,0.45301,0.9907,0.78031,0.72011,0.7175,0.44411,1.35929,0.82536,1.38154,0.0043075,0.0043075,0.0043075
117,1380,0.69787,0.44545,0.98847,0.87263,0.6906,0.73208,0.45475,1.38603,0.80684,1.39031,0.004258,0.004258,0.004258
118,1391.84,0.69788,0.44622,0.98616,0.86103,0.65345,0.69594,0.43696,1.32731,0.84352,1.35734,0.0042085,0.0042085,0.0042085
119,1403.54,0.68451,0.43678,0.97858,0.83911,0.68283,0.74324,0.4435,1.47691,0.85337,1.38854,0.004159,0.004159,0.004159
120,1415.33,0.69622,0.44405,0.98965,0.86971,0.67761,0.71898,0.45825,1.43324,0.8135,1.40145,0.0041095,0.0041095,0.0041095
121,1426.97,0.70984,0.45308,0.99271,0.77777,0.73146,0.72159,0.43623,1.46079,0.85203,1.38848,0.00406,0.00406,0.00406
122,1438.76,0.71659,0.448,0.9964,0.83679,0.67574,0.72931,0.46151,1.34103,0.83121,1.35086,0.0040105,0.0040105,0.0040105
123,1450.59,0.71408,0.44069,0.99094,0.80118,0.70128,0.72412,0.45705,1.45966,0.8205,1.37583,0.003961,0.003961,0.003961
124,1462.39,0.72883,0.44126,0.99354,0.83675,0.70912,0.75242,0.47304,1.40229,0.82152,1.38354,0.0039115,0.0039115,0.0039115
125,1474.23,0.71451,0.43954,0.99093,0.7521,0.7409,0.72972,0.45627,1.41128,0.86274,1.41521,0.003862,0.003862,0.003862
126,1486.02,0.69997,0.43663,0.98371,0.85621,0.66464,0.69769,0.43909,1.38166,0.84517,1.40522,0.0038125,0.0038125,0.0038125
127,1497.81,0.68251,0.42828,0.983,0.83936,0.67066,0.71969,0.4632,1.38822,0.85654,1.36982,0.003763,0.003763,0.003763
128,1509.59,0.6993,0.43332,0.98519,0.81647,0.6357,0.7012,0.4548,1.38831,0.89152,1.37522,0.0037135,0.0037135,0.0037135
129,1521.21,0.68777,0.43255,0.98389,0.82134,0.68352,0.72415,0.45277,1.47699,0.81737,1.36542,0.003664,0.003664,0.003664
130,1533.15,0.67673,0.42928,0.97891,0.77893,0.71001,0.7208,0.45567,1.38047,0.8142,1.35637,0.0036145,0.0036145,0.0036145
131,1544.98,0.68106,0.42917,0.97663,0.8095,0.65401,0.68671,0.43942,1.32068,0.86871,1.31487,0.003565,0.003565,0.003565
132,1556.66,0.66905,0.4266,0.97382,0.82417,0.67149,0.72316,0.46676,1.37166,0.83104,1.35304,0.0035155,0.0035155,0.0035155
133,1568.33,0.65806,0.41967,0.97285,0.83269,0.66234,0.71059,0.46579,1.36882,0.8297,1.39264,0.003466,0.003466,0.003466
134,1579.95,0.66502,0.42457,0.9697,0.75783,0.74293,0.75148,0.45246,1.44746,0.83837,1.38634,0.0034165,0.0034165,0.0034165
135,1591.62,0.66901,0.42752,0.97734,0.77781,0.71231,0.73482,0.46525,1.40666,0.83018,1.40011,0.003367,0.003367,0.003367
136,1603.23,0.65004,0.41177,0.96577,0.78056,0.68337,0.70452,0.45459,1.39176,0.89589,1.38175,0.0033175,0.0033175,0.0033175
137,1614.87,0.65004,0.41402,0.96421,0.83858,0.67297,0.71005,0.46125,1.33456,0.77714,1.35659,0.003268,0.003268,0.003268
138,1626.43,0.65614,0.41547,0.96545,0.84588,0.68299,0.72769,0.47645,1.34321,0.84139,1.35045,0.0032185,0.0032185,0.0032185
139,1638.45,0.65035,0.41554,0.96498,0.78061,0.70119,0.73583,0.47995,1.32434,0.81589,1.36322,0.003169,0.003169,0.003169
140,1650.43,0.66271,0.41367,0.96711,0.8869,0.68854,0.74274,0.47494,1.41603,0.84893,1.39176,0.0031195,0.0031195,0.0031195
141,1662.09,0.65745,0.41307,0.96773,0.8745,0.65497,0.72682,0.4585,1.4028,0.84852,1.37405,0.00307,0.00307,0.00307
142,1673.7,0.64673,0.40796,0.96482,0.80408,0.6641,0.68837,0.44668,1.38393,0.8211,1.34746,0.0030205,0.0030205,0.0030205
